id_hogar,id_persona,peso_persona,region,grado_urbanizacion,anio_nacimiento,edad,sexo,pais_nacimiento,nacionalidad,situacion_actividad,situacion_profesional,horas_semana,jornada,tipo_contrato,personal_a_cargo,anios_experiencia,meses_desempleo_ref,meses_desempleo_5anios,ocupacion_isco08,sector_cnae,nivel_estudios,estado_salud,enfermedad_cronica,limitacion_actividad,necesito_medico_no_fue,renta_neta_salarial,renta_no_monetaria_salarial,renta_neta_hogar,renta_hogar_indicadores,unidades_consumo,num_miembros_hogar,tipo_hogar,hogar_riesgo_pobreza,hogar_carencia_material,retrasos_hipoteca_alquiler,retrasos_facturas,retrasos_deudas_no_vivienda,capacidad_gastos_imprevistos,capacidad_fin_de_mes,puede_vacaciones,puede_proteina_2dias,tiene_ordenador,tiene_coche,carga_prestamos_no_vivienda,puede_sustituir_muebles,puede_calefaccion_invierno,tipo_vivienda,regimen_tenencia,num_habitaciones,importe_alquiler,gastos_vivienda,cuota_hipoteca,cambio_ingresos_12m,motivo_aumento_ingresos,motivo_disminucion_ingresos,expectativa_ingresos_12m,carga_asistencia_medica,carga_asistencia_dental,carga_medicamentos,baja_intensidad_laboral_2020,arope_2020,carencia_material_social_severa,arope_2030,estres_financiero_alto,renta_hogar_per_capita,ratio_carga_vivienda,precariedad_laboral
376,37601,291.36076,ES30,Zona muy poblada,1985,39,Mujer,España,España,Trabajando,Asalariado,45.0,Tiempo completo,Temporal escrito,Sí,21.0,0.0,3.0,26.0,Información/comunicaciones,Post-secundaria,Bueno,No,No limitado,No,30871.8,0.0,51427.9,51427.9,2.1,4,"2 adultos, 2 niños",No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Alquiler precio reducido,5.0,343.5,531.35,0.0,Se mantienen,,,Mantenerse,Ninguna carga,Una carga razonable,Ninguna carga,No,No,No,No,0,24489.47619047619,0.20653800555847088,1
435,43501,1337.1014,ES30,Zona media,1993,31,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,4.0,0.0,0.0,35.0,Información/comunicaciones,Post-secundaria,Muy bueno,No,No limitado,No,38325.3,697.3,66513.1,66513.1,1.8,3,"2 adultos, 1 niño",No,No,No,No,No,Sí,Con facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Adosada/pareada,Propiedad con hipoteca,4.0,0.0,435.44,1200.0,Han aumentado,Nuevo/cambio empleo,,Mantenerse,Ninguna carga,No ha utilizado,Ninguna carga,No,No,No,No,0,36951.722222222226,0.13634022434266657,0
435,43502,1229.60861,ES30,Zona media,1988,36,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,11.0,0.0,0.0,23.0,Educación,Post-secundaria,Muy bueno,No,No limitado,No,25775.0,0.0,66513.1,66513.1,1.8,3,"2 adultos, 1 niño",No,No,No,No,No,Sí,Con facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Adosada/pareada,Propiedad con hipoteca,4.0,0.0,435.44,1200.0,Han aumentado,Nuevo/cambio empleo,,Mantenerse,Ninguna carga,No ha utilizado,Ninguna carga,No,No,No,No,0,36951.722222222226,0.20272667313288067,0
786,78601,1136.07831,ES30,Zona muy poblada,1989,35,Hombre,Extranjero no UE,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,15.0,0.0,0.0,42.0,Transporte/almacenamiento,Post-secundaria,Muy bueno,Sí,No limitado,No,25194.6,17.5,25099.3,25099.3,1.0,1,Una persona: hombre 30-64 años,No,No,No,No,No,No (no puede),Con dificultad,No,Sí,Sí,No,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Alquiler precio mercado,4.0,993.5,1150.6,0.0,Se mantienen,,,Mejorar,Ninguna carga,Una carga razonable,Ninguna carga,No,No,No,No,1,25099.3,0.5480221952323117,0
1760,176001,864.98647,ES30,Zona muy poblada,1965,59,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,Sí,40.0,0.0,0.0,33.0,Comercio/reparación vehículos,Hasta primaria,Muy malo,No,Limitado pero no gravemente,No,30436.2,0.0,34200.2,34200.2,1.0,1,Una persona: hombre 30-64 años,No,No,No,No,No,Sí,Con dificultad,Sí,Sí,No,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Cesión gratuita,5.0,0.0,253.14,0.0,Se mantienen,,,Mejorar,Ninguna carga,No ha utilizado,Una carga razonable,No,No,No,No,0,34200.2,0.09980483766041752,0
1999,199901,751.23349,ES30,Zona muy poblada,2001,23,Mujer,España,España,Trabajando,Asalariado,37.0,Tiempo completo,Indefinido escrito,No,3.0,0.0,0.0,41.0,Información/comunicaciones,Post-secundaria,Bueno,No,No limitado,No,17625.5,208.2,17569.8,17569.8,1.0,1,Una persona: mujer <30 años,No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,No (no puede permitírselo),Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Alquiler precio mercado,3.0,870.0,916.14,0.0,Han aumentado,Más horas/salario,,Mantenerse,Ninguna carga,Ninguna carga,Ninguna carga,No,No,No,No,0,17569.8,0.6237371989447108,0
2542,254201,920.85514,ES30,Zona muy poblada,1983,41,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,Sí,25.0,0.0,0.0,61.0,Actividades administrativas,Secundaria 1a etapa,Regular,Sí,No limitado,No,18408.3,0.0,18747.1,18747.1,1.0,1,Una persona: hombre 30-64 años,No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,No (no puede permitírselo),Sí,Una carga pesada,Sí,Sí,Piso ≥10 viviendas,Alquiler precio mercado,5.0,200.0,352.03,0.0,Han disminuido,,Otros,Mantenerse,Una carga razonable,Una carga razonable,Una carga razonable,No,No,No,No,0,18747.1,0.22948126660256513,0
2543,254301,2232.61638,ES30,Zona muy poblada,1989,35,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,11.0,0.0,6.0,21.0,Información/comunicaciones,Post-secundaria,Bueno,No,No limitado,No,22877.8,8.0,23135.8,23135.8,1.0,1,Una persona: mujer 30-64 años,No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,5.0,0.0,179.06,0.0,Han aumentado,Nuevo/cambio empleo,,Mantenerse,Ninguna carga,Una carga razonable,Una carga razonable,No,No,No,No,0,23135.8,0.09392161833742757,0
2545,254501,1930.52823,ES30,Zona muy poblada,1984,40,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,Sí,22.0,0.0,0.0,52.0,Comercio/reparación vehículos,,Muy bueno,No,No limitado,No,27922.7,145.0,54079.8,54079.8,1.5,2,2 adultos <65 sin niños,No,No,No,No,No,Sí,Con facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Alquiler precio mercado,4.0,640.0,785.32,0.0,Se mantienen,,,,Ninguna carga,Ninguna carga,Ninguna carga,No,No,No,No,0,36053.200000000004,0.33749744831266315,0
2545,254502,2057.60845,ES30,Zona muy poblada,1993,31,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,Sí,12.0,0.0,0.0,42.0,Comercio/reparación vehículos,Post-secundaria,Muy bueno,No,No limitado,No,25290.8,0.0,54079.8,54079.8,1.5,2,2 adultos <65 sin niños,No,No,No,No,No,Sí,Con facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Alquiler precio mercado,4.0,640.0,785.32,0.0,Se mantienen,,,,Ninguna carga,Ninguna carga,Ninguna carga,No,No,No,No,0,36053.200000000004,0.37261929239090896,0
2546,254601,881.31348,ES30,Zona muy poblada,1966,58,Hombre,España,España,Trabajando,Asalariado,37.0,Tiempo completo,Indefinido escrito,No,35.0,0.0,0.0,24.0,Administración pública/defensa,Post-secundaria,Malo,Sí,No limitado,No,32373.5,0.0,51677.9,51677.9,2.0,3,"2 adultos, 1 niño",No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,4.0,0.0,315.72,0.0,Se mantienen,,,Mantenerse,Una carga razonable,Una carga pesada,Ninguna carga,No,No,No,No,0,25838.95,0.11702905153906745,0
2547,254701,853.58395,ES30,Zona muy poblada,1975,49,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,25.0,0.0,3.0,41.0,Actividades inmobiliarias,Post-secundaria,Bueno,No,No limitado,No,26145.8,0.0,58525.1,58525.1,1.5,2,2 adultos <65 sin niños,No,No,No,No,No,Sí,Con mucha facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,5.0,0.0,205.56,0.0,Se mantienen,,,Mantenerse,Ninguna carga,Ninguna carga,Ninguna carga,No,No,No,No,0,39016.73333333333,0.09434478960291903,0
2547,254702,847.64035,ES30,Zona muy poblada,1977,47,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,27.0,0.0,0.0,96.0,Administración pública/defensa,Hasta primaria,Muy bueno,No,No limitado,No,30546.2,0.0,58525.1,58525.1,1.5,2,2 adultos <65 sin niños,No,No,No,No,No,Sí,Con mucha facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,5.0,0.0,205.56,0.0,Se mantienen,,,Mantenerse,Ninguna carga,Ninguna carga,Ninguna carga,No,No,No,No,0,39016.73333333333,0.08075374350983101,0
2548,254801,1126.3343,ES30,Zona muy poblada,1983,41,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,15.0,5.0,6.0,35.0,Sanidad/servicios sociales,,Regular,Sí,Limitado pero no gravemente,No,10629.9,0.0,45450.5,45450.5,1.5,2,2 adultos ≥65 sin niños,No,No,No,No,No,Sí,Con facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Adosada/pareada,Propiedad sin hipoteca,8.0,0.0,384.99,0.0,Se mantienen,,,Mejorar,Ninguna carga,Una carga pesada,Ninguna carga,No,No,No,No,0,30300.333333333332,0.4346118025569385,0
2549,254901,887.82264,ES30,Zona muy poblada,1970,54,Hombre,España,España,Trabajando,Asalariado,37.0,Tiempo completo,Indefinido escrito,No,34.0,0.0,0.0,35.0,Administración pública/defensa,Post-secundaria,Bueno,Sí,No limitado,No,34998.9,0.0,92130.4,92130.4,2.5,4,"2 adultos, 2 niños",No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,Ninguna carga,No (no puede permitírselo),Sí,Piso ≥10 viviendas,Propiedad con hipoteca,5.0,0.0,376.21,300.0,Se mantienen,,,Empeorar,Ninguna carga,Una carga razonable,Ninguna carga,No,No,No,No,0,36852.159999999996,0.12899033969639043,0
2549,254902,892.84605,ES30,Zona muy poblada,1973,51,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,Sí,26.0,0.0,0.0,43.0,Actividades financieras/seguros,Post-secundaria,Bueno,No,No limitado,No,54455.7,785.6,92130.4,92130.4,2.5,4,"2 adultos, 2 niños",No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,Ninguna carga,No (no puede permitírselo),Sí,Piso ≥10 viviendas,Propiedad con hipoteca,5.0,0.0,376.21,300.0,Se mantienen,,,Empeorar,Ninguna carga,Una carga razonable,Ninguna carga,No,No,No,No,0,36852.159999999996,0.08290261625504768,0
2550,255001,1041.37108,ES30,Zona muy poblada,1966,58,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,32.0,0.0,0.0,22.0,Sanidad/servicios sociales,Post-secundaria,Muy bueno,No,No limitado,No,58450.1,0.0,99413.6,99413.6,2.0,3,"2 adultos, 1 niño",No,No,No,No,No,Sí,Con facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Adosada/pareada,Propiedad sin hipoteca,6.0,0.0,278.28,0.0,Se mantienen,,,Mejorar,Ninguna carga,Ninguna carga,Ninguna carga,No,No,No,No,0,49706.8,0.057131809868588755,0
2550,255003,1039.43261,ES30,Zona muy poblada,1966,58,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,27.0,0.0,1.0,31.0,Industria manufacturera,Post-secundaria,Muy bueno,No,No limitado,No,20864.6,4.3,99413.6,99413.6,2.0,3,"2 adultos, 1 niño",No,No,No,No,No,Sí,Con facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Adosada/pareada,Propiedad sin hipoteca,6.0,0.0,278.28,0.0,Se mantienen,,,Mejorar,Ninguna carga,Ninguna carga,Ninguna carga,No,No,No,No,0,49706.8,0.1600490783432225,0
2551,255102,2228.13694,ES30,Zona muy poblada,1969,55,Mujer,UE,UE,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,Sí,32.0,0.0,6.0,52.0,Comercio/reparación vehículos,Secundaria 1a etapa,Bueno,No,No limitado,No,10468.7,0.0,24348.0,24348.0,1.5,2,2 adultos <65 sin niños,No,No,No,No,No,Sí,Con facilidad,Sí,Sí,No (no puede permitírselo),Sí,Ninguna carga,Sí,No,Piso ≥10 viviendas,Propiedad sin hipoteca,5.0,0.0,269.27,0.0,Se mantienen,,,Mantenerse,Una carga razonable,Ninguna carga,Una carga razonable,No,No,No,No,0,16232.0,0.30865723537784057,0
2554,255401,595.83832,ES30,Zona muy poblada,1973,51,Mujer,España,España,Trabajando,Asalariado,35.0,Tiempo completo,Indefinido escrito,No,28.0,0.0,0.0,51.0,Hostelería,Post-secundaria,Bueno,No,Limitado pero no gravemente,No,15167.4,0.0,16029.9,16029.9,1.0,1,Una persona: mujer 30-64 años,No,No,No,No,No,No (no puede),Con dificultad,Sí,Sí,Sí,Sí,Ninguna carga,No (no puede permitírselo),Sí,Adosada/pareada,Propiedad con hipoteca,6.0,0.0,667.07,560.0,Han disminuido,,Reducción horas/salario,Mejorar,Ninguna carga,No ha utilizado,Una carga razonable,No,No,No,No,1,16029.9,0.5277661299893193,0
2555,255501,537.2446,ES30,Zona muy poblada,1963,61,Mujer,España,España,Trabajando,Asalariado,35.0,Tiempo completo,Indefinido escrito,Sí,29.0,0.0,0.0,24.0,Administración pública/defensa,Post-secundaria,Muy bueno,No,No limitado,No,51798.5,0.0,51182.17,51182.17,1.0,1,Una persona: mujer 30-64 años,No,No,No,No,No,Sí,Con facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,6.0,0.0,386.16,0.0,Se mantienen,,,Mantenerse,No ha utilizado,,No ha consumido,No aplicable (≥60 años),No,No,No,0,51182.17,0.0894605056130969,0
2556,255601,254.05345,ES30,Zona muy poblada,1963,61,Mujer,España,España,Trabajando,Asalariado,32.0,Tiempo parcial,Indefinido escrito,No,37.0,0.0,1.0,52.0,Comercio/reparación vehículos,Hasta primaria,Regular,Sí,No limitado,No,13750.3,17.9,31697.2,31697.2,1.5,2,2 adultos <65 sin niños,No,No,No,"Sí, dos o más veces","Sí, dos o más veces",Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,4.0,0.0,241.97,0.0,Han aumentado,Otros,,Mantenerse,Ninguna carga,Una carga razonable,Ninguna carga,No aplicable (≥60 años),No,No,No,1,21131.466666666667,0.21116921085358137,1
2557,255701,625.30107,ES30,Zona media,1970,54,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,38.0,0.0,0.0,2.0,Administración pública/defensa,Post-secundaria,Bueno,Sí,No limitado,No,35677.5,0.0,100789.3,100789.3,2.5,4,"2 adultos, 2 niños",No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Adosada/pareada,Propiedad con hipoteca,5.0,0.0,452.0,811.0,Se mantienen,,,Mejorar,Ninguna carga,Ninguna carga,Ninguna carga,No,No,No,No,0,40315.72,0.15202858944713055,0
2557,255702,628.8391,ES30,Zona media,1972,52,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,26.0,0.0,0.0,22.0,Sanidad/servicios sociales,Post-secundaria,Bueno,No,No limitado,No,61959.5,0.0,100789.3,100789.3,2.5,4,"2 adultos, 2 niños",No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Adosada/pareada,Propiedad con hipoteca,5.0,0.0,452.0,811.0,Se mantienen,,,Mejorar,Ninguna carga,Ninguna carga,Ninguna carga,No,No,No,No,0,40315.72,0.0875410550440207,0
2558,255801,807.16184,ES30,Zona media,1986,38,Hombre,Extranjero no UE,España,Trabajando,Asalariado,40.0,Tiempo completo,Temporal escrito,No,17.0,0.0,0.0,31.0,Actividades profesionales/científicas,,Regular,Sí,No limitado,No,20324.5,0.0,17289.7,17289.7,1.0,1,Una persona: hombre 30-64 años,No,No,No,No,No,No (no puede),Con dificultad,No,Sí,No,Sí,Ninguna carga,Sí,No,Piso <10 viviendas,Propiedad con hipoteca,3.0,0.0,613.12,600.0,Se mantienen,,,,Una carga razonable,No ha utilizado,No ha consumido,No,No,No,No,1,17289.7,0.36199857315063105,1
2560,256001,1208.86007,ES30,Zona media,1964,60,Hombre,UE,UE,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,Sí,30.0,0.0,0.0,21.0,Transporte/almacenamiento,Post-secundaria,Muy bueno,No,No limitado,No,49245.8,438.6,76278.4,76278.4,2.5,4,Otros sin niños,No,No,No,No,No,Sí,Con cierta dificultad,Sí,Sí,Sí,Sí,Una carga razonable,Sí,Sí,Adosada/pareada,Propiedad con hipoteca,6.0,0.0,524.96,560.0,Se mantienen,,,Mantenerse,Ninguna carga,Una carga razonable,Una carga razonable,No aplicable (≥60 años),No,No,No,0,30511.359999999997,0.12791994444196256,0
2560,256003,1288.36162,ES30,Zona media,1997,27,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,Sí,3.0,0.0,0.0,21.0,Energía eléctrica/gas,Post-secundaria,Muy bueno,No,No limitado,No,19209.8,177.3,76278.4,76278.4,2.5,4,Otros sin niños,No,No,No,No,No,Sí,Con cierta dificultad,Sí,Sí,Sí,Sí,Una carga razonable,Sí,Sí,Adosada/pareada,Propiedad con hipoteca,6.0,0.0,524.96,560.0,Se mantienen,,,Mantenerse,Ninguna carga,Una carga razonable,Una carga razonable,No,No,No,No,0,30511.359999999997,0.3279326177263689,0
2560,256004,1214.28725,ES30,Zona media,2002,22,Mujer,España,España,Trabajando,Asalariado,24.0,Tiempo parcial,Temporal escrito,Sí,2.0,0.0,0.0,34.0,Educación,Post-secundaria,Muy bueno,No,No limitado,No,4362.3,0.0,76278.4,76278.4,2.5,4,Otros sin niños,No,No,No,No,No,Sí,Con cierta dificultad,Sí,Sí,Sí,Sí,Una carga razonable,Sí,Sí,Adosada/pareada,Propiedad con hipoteca,6.0,0.0,524.96,560.0,Se mantienen,,,Mantenerse,Ninguna carga,Una carga razonable,Una carga razonable,No,No,No,No,0,30511.359999999997,1.4440822501891204,1
2561,256101,1498.20374,ES30,Zona media,1972,52,Hombre,Extranjero no UE,UE,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,30.0,0.0,3.0,42.0,Actividades administrativas,Secundaria 1a etapa,Muy bueno,No,No limitado,No,32278.1,0.0,33082.0,33082.0,1.0,1,Una persona: hombre 30-64 años,No,No,No,No,No,Sí,Con facilidad,Sí,Sí,No (no puede permitírselo),Sí,Ninguna carga,Sí,Sí,Piso <10 viviendas,Alquiler precio mercado,1.0,760.0,899.46,0.0,Se mantienen,,,,No ha utilizado,No ha utilizado,No ha consumido,No,No,No,No,0,33082.0,0.33439142948314804,0
2562,256201,2168.72137,ES30,Zona media,1991,33,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,Sí,10.0,0.0,0.0,43.0,Transporte/almacenamiento,Secundaria 1a etapa,Muy bueno,No,No limitado,No,26435.08,220.0,42976.68,42976.68,1.5,2,2 adultos <65 sin niños,No,No,No,No,No,Sí,Con cierta dificultad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso <10 viviendas,Propiedad con hipoteca,3.0,0.0,952.42,799.0,Se mantienen,,,Mantenerse,Ninguna carga,No ha utilizado,Ninguna carga,No,No,No,No,0,28651.12,0.4323436887650803,0
2562,256202,2072.79333,ES30,Zona media,1995,29,Mujer,España,España,Trabajando,Asalariado,30.0,Tiempo parcial,Indefinido escrito,No,7.0,0.0,24.0,52.0,Comercio/reparación vehículos,Post-secundaria,Bueno,Sí,No limitado,No,14774.5,0.0,42976.68,42976.68,1.5,2,2 adultos <65 sin niños,No,No,No,No,No,Sí,Con cierta dificultad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso <10 viviendas,Propiedad con hipoteca,3.0,0.0,952.42,799.0,Se mantienen,,,Mantenerse,Ninguna carga,No ha utilizado,Ninguna carga,No,No,No,No,0,28651.12,0.7735652644759551,1
2564,256401,1315.03805,ES30,Zona media,1970,54,Hombre,Extranjero no UE,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,34.0,0.0,0.0,61.0,Actividades administrativas,Hasta primaria,Bueno,No,No limitado,No,17293.7,0.0,34573.08,34573.08,1.5,2,2 adultos <65 sin niños,No,No,No,No,No,Sí,Con cierta dificultad,Sí,Sí,No,Sí,Ninguna carga,No (otras razones),Sí,Adosada/pareada,Alquiler precio mercado,3.0,500.0,659.52,0.0,Han aumentado,Revalorización salario,,Mantenerse,Ninguna carga,Una carga razonable,Ninguna carga,No,No,No,No,0,23048.72,0.45763717423107836,0
2564,256402,1321.8088,ES30,Zona media,1978,46,Mujer,Extranjero no UE,Extranjero no UE,Trabajando,Asalariado,40.0,Tiempo completo,Temporal escrito,No,12.0,0.0,0.0,91.0,Hogares como empleadores,Hasta primaria,Bueno,No,No limitado,No,17413.08,0.0,34573.08,34573.08,1.5,2,2 adultos <65 sin niños,No,No,No,No,No,Sí,Con cierta dificultad,Sí,Sí,No,Sí,Ninguna carga,No (otras razones),Sí,Adosada/pareada,Alquiler precio mercado,3.0,500.0,659.52,0.0,Han aumentado,Revalorización salario,,Mantenerse,Ninguna carga,Una carga razonable,Ninguna carga,No,No,No,No,0,23048.72,0.4544997208994617,1
2566,256602,1944.43549,ES30,Zona media,1982,42,Mujer,UE,UE,Trabajando,Asalariado,30.0,Tiempo parcial,Indefinido escrito,No,10.0,0.0,0.0,91.0,Hogares como empleadores,Secundaria 1a etapa,Bueno,Sí,,No,14737.85,0.0,15050.05,15050.05,1.8,3,"2 adultos, 1 niño",Sí,No,No,No,No,No (no puede),Con cierta dificultad,Sí,Sí,Sí,Sí,Ninguna carga,No (otras razones),Sí,Piso <10 viviendas,Alquiler precio mercado,2.0,550.0,835.4,0.0,Se mantienen,,,Mejorar,Una carga pesada,Una carga pesada,No ha consumido,No,Sí,No,Sí,0,8361.138888888889,0.6802077643618302,1
2568,256801,893.77949,ES30,Zona muy poblada,1961,63,Hombre,España,España,Trabajando,Asalariado,35.0,Tiempo parcial,Indefinido escrito,No,45.0,0.0,0.0,54.0,Administración pública/defensa,Secundaria 1a etapa,Bueno,No,No limitado,No,28003.5,0.0,33841.87,33841.87,1.5,2,2 adultos <65 sin niños,No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,5.0,0.0,251.32,0.0,Se mantienen,,,Mantenerse,Ninguna carga,Ninguna carga,Ninguna carga,No aplicable (≥60 años),No,No,No,0,22561.24666666667,0.10769510953987894,1
2572,257201,648.60539,ES30,Zona muy poblada,1976,48,Hombre,España,España,Trabajando,Asalariado,38.0,Tiempo completo,Indefinido escrito,Sí,26.0,0.0,0.0,31.0,Actividades profesionales/científicas,Post-secundaria,Bueno,Sí,No limitado,No,28742.5,0.0,38129.71,38129.71,1.5,2,2 adultos <65 sin niños,No,No,No,No,"Sí, dos o más veces",Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Alquiler precio mercado,4.0,688.0,819.02,0.0,Han aumentado,Revalorización salario,,Mejorar,Ninguna carga,No ha utilizado,Ninguna carga,No,No,No,No,0,25419.806666666667,0.34194102809428545,0
2572,257202,647.56315,ES30,Zona muy poblada,1985,39,Mujer,Extranjero no UE,Extranjero no UE,Trabajando,Asalariado,28.0,Tiempo parcial,Indefinido escrito,No,22.0,0.0,0.0,51.0,Otros servicios,Secundaria 1a etapa,Bueno,No,No limitado,No,13381.5,0.0,38129.71,38129.71,1.5,2,2 adultos <65 sin niños,No,No,No,No,"Sí, dos o más veces",Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Alquiler precio mercado,4.0,688.0,819.02,0.0,Han aumentado,Revalorización salario,,Mejorar,Ninguna carga,No ha utilizado,Ninguna carga,No,No,No,No,0,25419.806666666667,0.7344647461046968,1
2577,257701,748.18657,ES30,Zona muy poblada,1971,53,Hombre,España,España,Trabajando,Asalariado,38.0,Tiempo completo,Indefinido escrito,Sí,37.0,0.0,0.0,43.0,Transporte/almacenamiento,Post-secundaria,Malo,Sí,Limitado pero no gravemente,No,39032.0,523.9,54992.1,54992.1,2.3,4,Otros con niños,No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,5.0,0.0,271.29,0.0,Se mantienen,,,Mantenerse,Una carga razonable,Una carga razonable,Una carga pesada,No,No,No,No,0,23909.608695652176,0.08340541094486577,0
2577,257702,752.4199,ES30,Zona muy poblada,1973,51,Mujer,España,España,Trabajando,Asalariado,25.0,Tiempo parcial,Indefinido escrito,No,15.0,0.0,3.0,53.0,Sanidad/servicios sociales,Hasta primaria,Regular,Sí,No limitado,No,11278.5,0.0,54992.1,54992.1,2.3,4,Otros con niños,No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,5.0,0.0,271.29,0.0,Se mantienen,,,Mantenerse,Una carga razonable,Una carga razonable,Una carga pesada,No,No,No,No,0,23909.608695652176,0.28864476659130206,1
2578,257801,689.34763,ES30,Zona muy poblada,1978,46,Mujer,España,España,Trabajando,Asalariado,16.0,Tiempo parcial,Indefinido escrito,No,24.0,0.0,2.0,52.0,Comercio/reparación vehículos,Hasta primaria,Regular,Sí,No limitado,No,7112.8,0.0,27533.6,27533.6,2.3,4,"2 adultos, 2 niños",Sí,No,No,No,No,No (no puede),Con dificultad,No,Sí,Sí,Sí,Una carga razonable,No (no puede permitírselo),Sí,Piso ≥10 viviendas,Propiedad con hipoteca,5.0,0.0,386.03,418.0,Se mantienen,,,Mantenerse,Una carga razonable,Una carga pesada,Ninguna carga,No,Sí,No,Sí,1,11971.13043478261,0.6512709481498143,1
